date,symbol,open,high,low,close,volume,amount,turnover_rate,pe_ttm,pb,ma5,ma10,ma20,ma30,ma60,ema12,ema26,dif,dea,macd,k,d,j
2024-01-01,SH000001,100.0,100.51,98.57,99.13,3332650,33181028062.12,3.33,23.89,1.66,,,,,,99.13,99.13,0.0,0.0,0.0,50.0,50.0,50.0
2024-01-02,SH000001,99.12,102.54,97.99,101.02,7872545,78780390554.01,7.87,23.37,2.9,,,,,,99.42076923076922,99.27,0.1507692307692281,0.030153846153845622,0.24123076923076497,50.0,50.0,50.0
2024-01-03,SH000001,100.4,102.99,99.83,101.96,9880924,99975263560.5,9.88,21.62,2.07,,,,,,99.8114201183432,99.46925925925926,0.3421608590839327,0.09255524873986304,0.4992112206881393,50.0,50.0,50.0
2024-01-04,SH000001,101.76,103.75,101.42,103.15,6456120,66146255536.1,6.46,18.68,1.77,,,,,,100.32504779244424,99.74190672153635,0.5831410709078853,0.19067241317346748,0.7849373154688355,50.0,50.0,50.0
2024-01-05,SH000001,102.55,105.11,102.06,104.27,5262362,54417538251.74,5.26,16.44,1.77,101.91,,,,,100.93196351668358,100.07732103845959,0.8546424782239939,0.3234664261835728,1.0623521040808421,50.0,50.0,50.0
2024-01-08,SH000001,104.0,104.55,101.86,102.62,5278531,54531906984.17,5.28,18.42,2.4,102.6,,,,,101.1916614371938,100.26566762820332,0.9259938089904836,0.44397190274495496,0.9640438124910572,50.0,50.0,50.0
2024-01-09,SH000001,102.69,106.19,101.92,104.62,6078406,63006281050.19,6.08,20.08,2.21,103.32,,,,,101.71909813916399,100.58821076685493,1.1308873723090613,0.5813549966577762,1.0990647513025702,50.0,50.0,50.0
2024-01-10,SH000001,104.32,105.71,101.56,102.0,6346274,65468865531.18,6.35,19.75,1.65,103.33,,,,,101.76231381006184,100.69278774708789,1.0695260629739494,0.6789892099210109,0.781073706105877,50.0,50.0,50.0
2024-01-11,SH000001,101.73,102.77,101.34,102.65,5863797,59921215857.83,5.86,20.74,2.25,103.23,,,,,101.89888091620618,100.83776643248879,1.0611144837173896,0.7554142646802866,0.611400438074206,50.0,50.0,50.0
2024-01-12,SH000001,103.04,103.12,102.84,102.9,7218960,74335143090.01,7.22,20.69,1.73,102.96,102.43,,,,102.05289923678984,100.99052447452667,1.0623747622631754,0.8168063641968644,0.49113679613262207,53.2926829268293,51.09756097560976,57.682926829268396
2024-01-15,SH000001,103.52,103.82,102.89,103.06,5443742,56229416991.3,5.44,19.82,1.99,103.05,102.82,,,,102.20783781574525,101.14381895789506,1.0640188578501864,0.8662488629275288,0.39553998984531513,52.45717645855708,51.550766136592195,54.26999710248684
2024-01-16,SH000001,103.56,103.81,101.94,102.28,5494881,56553876639.14,5.49,22.45,1.62,102.58,102.95,,,,102.21893969024597,101.2279805165695,0.9909591736764725,0.8911909250773176,0.1995364971983098,41.431932072027735,48.17782144840404,27.940153319275126
2024-01-17,SH000001,102.22,104.33,101.66,103.63,5686150,58526126680.64,5.69,20.27,1.9,102.9,103.12,,,,102.4360258917466,101.40590788571251,1.0301180060340869,0.9189763412686714,0.22228332953083085,43.36011966313873,46.571920853315596,36.936517282785005
2024-01-18,SH000001,103.68,106.26,102.5,105.37,9554116,99863465749.09,9.55,21.48,2.08,103.45,103.34,,,,102.88740652378559,101.69954433862269,1.1878621851628992,0.9727535100475171,0.43021735023076424,56.21026947732284,49.78470372798468,69.06140097599916
2024-01-19,SH000001,106.53,110.57,105.28,109.89,4148254,44886945455.19,4.15,19.21,1.56,104.85,103.9,,,,103.96472859704934,102.30624475798396,1.6584838390653829,1.1098995758510903,1.097168526428585,68.35108611597617,55.97349785731517,93.1062626332982
2024-01-22,SH000001,109.89,110.21,108.87,109.03,9418326,103096558355.46,9.42,20.1,1.61,106.04,104.54,,,,104.74400112058021,102.80430070183701,1.9397004187432003,1.2758597444295123,1.327681348627376,73.33914950165838,61.76204840542957,96.49335169411603
2024-01-23,SH000001,108.53,108.88,108.5,108.8,3668744,39866499215.96,3.67,20.26,1.67,107.34,104.96,,,,105.36800094818325,103.24842657577501,2.1195743724082377,1.4446026700252574,1.3499434047659604,75.83390031782642,66.45266570956184,94.59636953435557
2024-01-24,SH000001,108.11,109.53,107.79,109.06,3396152,36877128960.64,3.4,21.25,2.99,108.43,105.67,,,,105.93600080230891,103.67891349608797,2.2570873062209387,1.6070995972643938,1.2999754179130898,78.24018345168977,70.38183829027115,93.95687377452703
2024-01-25,SH000001,109.13,110.15,108.85,109.98,9004617,98651959252.66,9.0,16.0,1.6,109.35,106.4,,,,106.55815452503062,104.1456606445259,2.4124938805047123,1.7681784539124576,1.2886308531845092,83.28619787164656,74.68329148406295,100.49201064681381
2024-01-26,SH000001,109.24,109.6,108.24,108.58,6506664,70863691264.05,6.51,15.21,2.58,109.09,106.97,104.7,,,106.8692076750259,104.47413022641287,2.395077448613037,1.8935582528525736,1.0030383915209269,81.41264669183471,76.92640988665353,90.38512030219707
2024-01-29,SH000001,108.08,109.54,107.77,109.08,7078452,76857379112.72,7.08,15.88,2.22,109.1,107.57,105.2,,,107.20932957117577,104.8153057651971,2.3940238059786765,1.9936513634777944,0.8007448850017642,82.03416999807314,78.62899659046006,88.8445168132993
2024-01-30,SH000001,108.28,108.48,107.11,107.39,9476140,102183977809.3,9.48,20.33,1.74,108.82,108.08,105.52,,,107.23712502176411,105.00602385666397,2.2311011651001422,2.041141323802264,0.37991968259575604,74.88771184505993,77.38190167532667,69.89933218452643
2024-01-31,SH000001,108.26,109.86,107.78,109.57,3901419,42490732614.39,3.9,22.05,1.57,108.92,108.68,105.9,,,107.59602886456963,105.34409616357775,2.251932700991887,2.083299599240189,0.337266203503396,76.95727733590005,77.24036022885113,76.39111154999787
2024-02-01,SH000001,110.1,114.7,109.25,112.8,7402449,82503424096.66,7.4,18.43,1.53,109.48,109.42,106.38,,,108.39663980848199,105.89638533664606,2.5002544718359303,2.1666905737593374,0.6671277961531858,76.29387219846123,76.92486421872115,75.03188815794138
